stations,Lat,Long
Grand Central–42nd Street (New York City Subway),40.752283,-73.977519
Grand Street (IND Sixth Avenue Line),40.718119,-73.993864
Harlem–148th Street (IRT Lenox Avenue Line),40.824,-73.937
Houston Street (IRT Broadway–Seventh Avenue Line),40.728592,-74.005322
Inwood–207th Street (IND Eighth Avenue Line),40.867672,-73.921165
Lexington Avenue/51st Street (New York City Subway),40.757075,-73.971977
Lexington Avenue/59th Street (New York City Subway),40.762471,-73.9679
Lexington Avenue–63rd Street (63rd Street lines),40.764649,-73.966398
Marble Hill–225th Street (IRT Broadway–Seventh Avenue Line),40.874,-73.91
Prince Street (BMT Broadway Line),40.724202,-73.997812
Rector Street (BMT Broadway Line),40.70771,-74.013004
Rector Street (IRT Broadway–Seventh Avenue Line),40.708,-74.013
Roosevelt Island (IND 63rd Street Line),40.759188,-73.953438
Second Avenue (IND Sixth Avenue Line),40.723616,-73.991117
Seventh Avenue (IND lines),40.762959,-73.981891
South Ferry/Whitehall Street (New York City Subway),40.7025,-74.0128
Spring Street (IND Eighth Avenue Line),40.725503,-74.004035
Spring Street (IRT Lexington Avenue Line),40.722222,-73.997222
Third Avenue (BMT Canarsie Line),40.733243,-73.987212
Times Square–42nd Street/Port Authority Bus Terminal (New York City Subway),40.756,-73.987
Wall Street (IRT Broadway–Seventh Avenue Line),40.706311,-74.009528
Wall Street (IRT Lexington Avenue Line),40.70771,-74.011717
West Fourth Street–Washington Square (New York City Subway),40.731682,-74.000945
WTC Cortlandt (IRT Broadway–Seventh Avenue Line),40.7115,-74.012
